module,scale,analysis_layer,model,method,N,coverage,total_MAE,item_MAE,item_NAE,sum_item_AE,cancellation_ratio,delta_vs_C03,ci_low,ci_high,p,q
Stage2,PHQ-8,PHQ primary142,GLM-5.2,C03,142,1.0,3.2816901408450705,0.5862676056338029,0.1954225352112676,4.690140845070423,0.2657134727557262,0.0,0.0,0.0,1.0,
Stage2,PHQ-8,PHQ primary142,Qwen3.7-Max,C03,142,1.0,4.28169014084507,0.6285211267605634,0.2095070422535211,5.028169014084507,0.1389860921551062,0.0,0.0,0.0,1.0,
Stage2,PHQ-8,PHQ primary142,DeepSeek-V4-Pro,ElasticNet,142,1.0,3.573239436619718,0.6260563380281691,0.2086854460093897,5.0084507042253525,0.3005652094384488,-0.6098591549295777,-1.2008274647887325,-0.0598063380281693,0.0386961303869613,0.0412958704129587
Stage2,PHQ-8,PHQ primary142,GLM-5.2,ElasticNet,142,1.0,3.2119718309859158,0.5689260563380282,0.1896420187793427,4.551408450704225,0.2851734650326199,-0.0697183098591549,-0.4063556338028168,0.2859330985915491,0.6942305769423057,0.6942305769423057
Stage2,PHQ-8,PHQ primary142,Qwen3.7-Max,ElasticNet,142,1.0,3.773943661971831,0.646919014084507,0.2156396713615023,5.175352112676056,0.2792356665243989,-0.5077464788732393,-1.0931161971830985,0.0515669014084498,0.0943905609439056,0.116988301169883
Stage2,PHQ-8,PHQ primary142,DeepSeek-V4-Pro,Mean,142,1.0,3.556338028169014,0.6276408450704225,0.2092136150234741,5.02112676056338,0.2492136189319287,-0.6267605633802817,-0.9647887323943662,-0.3098591549295774,0.0001999800019998,0.0007499250074992
Stage2,PHQ-8,PHQ primary142,GLM-5.2,Mean,142,1.0,3.028169014084507,0.6302816901408451,0.210093896713615,5.042253521126761,0.3508368392171209,-0.2535211267605634,-0.4860915492957746,-0.0211267605633802,0.0411958804119588,0.205979402059794
Stage2,PHQ-8,PHQ primary142,Qwen3.7-Max,Mean,142,1.0,3.746478873239437,0.6373239436619719,0.2124413145539906,5.098591549295775,0.2327587905052693,-0.5352112676056338,-0.8100352112676057,-0.2887323943661972,0.0001999800019998,0.0004999500049995
Stage2,PHQ-8,PHQ primary142,DeepSeek-V4-Pro,Median,142,1.0,3.676056338028169,0.6461267605633803,0.2153755868544601,5.169014084507042,0.2458809969373349,-0.5070422535211268,-0.8170774647887324,-0.2323943661971831,0.0010998900109989,0.0018331500183315
Stage2,PHQ-8,PHQ primary142,GLM-5.2,Median,142,1.0,3.1690140845070425,0.6408450704225352,0.2136150234741784,5.126760563380282,0.3373275003556694,-0.1126760563380281,-0.3591549295774648,0.1197183098591549,0.4050594940505949,0.6942305769423057
Stage2,PHQ-8,PHQ primary142,Qwen3.7-Max,Median,142,1.0,3.816901408450704,0.6355633802816901,0.2118544600938967,5.084507042253521,0.2157120657120657,-0.4647887323943662,-0.704225352112676,-0.2112676056338028,0.0003999600039996,0.000666600006666
Stage2,PHQ-8,PHQ primary142,DeepSeek-V4-Pro,Ridge,142,1.0,3.5767605633802817,0.6284330985915493,0.2094776995305164,5.027464788732394,0.3009525333821108,-0.6063380281690143,-1.1325176056338029,-0.0675880281690142,0.0412958704129587,0.0412958704129587
Stage2,PHQ-8,PHQ primary142,GLM-5.2,Ridge,142,1.0,3.195774647887324,0.5714788732394366,0.1904929577464788,4.571830985915493,0.2887087677580635,-0.0859154929577464,-0.4437147887323944,0.282394366197183,0.6402359764023597,0.6942305769423057
Stage2,PHQ-8,PHQ primary142,Qwen3.7-Max,Ridge,142,1.0,3.797887323943662,0.6486795774647888,0.2162265258215962,5.18943661971831,0.2774227181269434,-0.4838028169014085,-1.077482394366197,0.1035563380281687,0.116988301169883,0.116988301169883
