analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
hamd99,4.8,0.4802788877788878,,1.0,20,1.0,,,,,-0.8499999999999996,2.0,1.0,,,0.428125,0.140625,,,outer_fold,Ridge,GLM-5.2,,2.0,HAMD-17,20,3.95,,,,,5.229722745997153
hamd99,2.8,0.6601862026862027,,1.0,20,1.0,,,,,-0.25,3.0,1.0,,,0.478125,0.159375,,,outer_fold,B,GLM-5.2,,2.0,HAMD-17,20,2.55,,,,,3.5
hamd99,2.8,0.5958233433233432,,1.0,20,1.0,,,,,0.0,3.0,,,,0.45625,0.15,,,outer_fold,C03,GLM-5.2,,2.0,HAMD-17,20,2.8,,,,,3.687817782917155
hamd99,2.8,0.5628282828282828,,1.0,20,1.0,,,,,0.3500000000000001,3.0,0.0,,,0.446875,0.14921875,,,outer_fold,ElasticNet,GLM-5.2,,2.0,HAMD-17,20,3.15,,,,,3.8794329482541645
hamd99,2.8,0.5743650793650793,,1.0,20,1.0,,,,,0.10000000000000009,3.0,0.0,,,0.44375,0.146875,,,outer_fold,Mean,GLM-5.2,,2.0,HAMD-17,20,2.9,,,,,3.9115214431215892
hamd99,2.8,0.5948196248196248,,1.0,20,1.0,,,,,0.050000000000000266,3.0,0.0,,,0.446875,0.14609375,,,outer_fold,Median,GLM-5.2,,2.0,HAMD-17,20,2.85,,,,,3.892300091205713
hamd99,2.8,0.5931746031746031,,1.0,20,1.0,,,,,0.10000000000000009,3.0,0.0,,,0.45,0.15,,,outer_fold,Ridge,GLM-5.2,,2.0,HAMD-17,20,2.9,,,,,3.6606010435446255
hamd99,2.8947368421052633,0.5671033644717856,,1.0,19,1.0,,,,,0.1578947368421053,4.0,0.0,,,0.4407894736842105,0.14884868421052633,,,outer_fold,B,GLM-5.2,,2.0,HAMD-17,19,3.0526315789473686,,,,,4.74618960740863
hamd99,2.8947368421052633,0.5637882585251006,,1.0,19,1.0,,,,,0.0,4.0,,,,0.4309210526315789,0.14144736842105263,,,outer_fold,C03,GLM-5.2,,2.0,HAMD-17,19,2.8947368421052633,,,,,3.6490806340343056
hamd99,2.8947368421052633,0.5621109884267779,,1.0,19,1.0,,,,,0.36842105263157876,4.0,0.0,,,0.46710526315789475,0.15871710526315788,,,outer_fold,ElasticNet,GLM-5.2,,2.0,HAMD-17,19,3.263157894736842,,,,,4.180153610876796
