scale,model,analysis_subset,item_id,item_name,method,N,item_MAE,item_NAE,delta_item_MAE_vs_C03,delta_item_MAE_CI_low,delta_item_MAE_CI_high,delta_item_MAE_p,mean_signed_error,exact_agreement,delta_item_MAE_q
PHQ-8,GLM-5.2,primary142,5,食欲问题,C03,1420,0.8802816901408451,0.2934272300469484,0.0,0.0,0.0,1.0,-0.852112676056338,0.44366197183098594,
PHQ-8,GLM-5.2,primary142,5,食欲问题,ElasticNet,1420,0.8253521126760563,0.27511737089201876,-0.054929577464788736,-0.2155105633802817,0.1056338028169014,0.49255074492550743,0.08028169014084507,0.28943661971830986,0.8051766251946234
PHQ-8,GLM-5.2,primary142,5,食欲问题,Mean,1420,0.8873239436619719,0.29577464788732394,0.007042253521126761,-0.02112676056338028,0.035211267605633804,1.0,-0.8169014084507042,0.43661971830985913,1.0
PHQ-8,GLM-5.2,primary142,5,食欲问题,Median,1420,0.8943661971830986,0.29812206572769956,0.014084507042253521,-0.014084507042253521,0.04225352112676056,0.6201379862013798,-0.8098591549295775,0.43661971830985913,0.7087291270872912
PHQ-8,GLM-5.2,primary142,5,食欲问题,Ridge,1420,0.8288732394366197,0.2762910798122066,-0.05140845070422535,-0.20352112676056336,0.10494718309859147,0.5265473452654734,0.09084507042253522,0.28732394366197184,0.9298270172982702
PHQ-8,GLM-5.2,primary142,6,自我评价低或让家人失望,B,1420,0.6183098591549295,0.20610328638497652,0.033802816901408454,0.009154929577464789,0.060563380281690136,0.011998800119988001,-0.2619718309859155,0.5,0.019198080191980802
PHQ-8,GLM-5.2,primary142,6,自我评价低或让家人失望,C03,1420,0.5845070422535211,0.19483568075117372,0.0,0.0,0.0,1.0,-0.2746478873239437,0.5140845070422535,
PHQ-8,GLM-5.2,primary142,6,自我评价低或让家人失望,ElasticNet,1420,0.5873239436619718,0.19577464788732393,0.0028169014084507083,-0.0563556338028169,0.05985915492957746,0.9127087291270873,-0.12253521126760564,0.5028169014084507,0.9127087291270873
PHQ-8,GLM-5.2,primary142,6,自我评价低或让家人失望,Mean,1420,0.7323943661971831,0.24413145539906103,0.14788732394366197,0.056338028169014086,0.23943661971830985,0.0046995300469953,-0.11267605633802817,0.4154929577464789,0.0375962403759624
PHQ-8,GLM-5.2,primary142,6,自我评价低或让家人失望,Median,1420,0.7464788732394366,0.24882629107981222,0.1619718309859155,0.06338028169014084,0.2676056338028169,0.0027997200279972004,-0.16901408450704225,0.43661971830985913,0.022397760223977603
PHQ-8,GLM-5.2,primary142,6,自我评价低或让家人失望,Ridge,1420,0.5830985915492958,0.19436619718309858,-0.0014084507042253502,-0.06126760563380281,0.058485915492957556,0.9728027197280272,-0.11549295774647887,0.5063380281690141,0.9728027197280272
PHQ-8,GLM-5.2,primary142,7,注意力困难,B,1420,0.5732394366197183,0.19107981220657277,0.016901408450704227,0.007746478873239434,0.028169014084507043,0.0024997500249975004,-0.476056338028169,0.5915492957746479,0.007465920074659201
PHQ-8,GLM-5.2,primary142,7,注意力困难,C03,1420,0.5563380281690141,0.18544600938967137,0.0,0.0,0.0,1.0,-0.5,0.6056338028169014,
PHQ-8,GLM-5.2,primary142,7,注意力困难,ElasticNet,1420,0.5359154929577464,0.17863849765258213,-0.02042253521126761,-0.11056338028169013,0.07676056338028169,0.6766323367663234,-0.1119718309859155,0.5669014084507042,0.8051766251946234
PHQ-8,GLM-5.2,primary142,7,注意力困难,Mean,1420,0.6267605633802817,0.20892018779342725,0.07042253521126761,0.02112676056338028,0.11971830985915492,0.0221977802219778,-0.4295774647887324,0.528169014084507,0.0887911208879112
PHQ-8,GLM-5.2,primary142,7,注意力困难,Median,1420,0.6056338028169014,0.20187793427230047,0.04929577464788732,0.0,0.1056338028169014,0.11728827117288271,-0.4647887323943662,0.5633802816901409,0.3127687231276872
PHQ-8,GLM-5.2,primary142,7,注意力困难,Ridge,1420,0.5528169014084507,0.1842723004694836,-0.003521126760563368,-0.09788732394366198,0.09225352112676058,0.9536046395360464,-0.09225352112676057,0.547887323943662,0.9728027197280272
PHQ-8,GLM-5.2,primary142,8,动作或语速改变,B,1420,0.44577464788732396,0.14859154929577464,0.06549295774647887,0.023943661971830982,0.11410211267605624,0.0038996100389961006,-0.1316901408450704,0.6809859154929577,0.007799220077992201
PHQ-8,GLM-5.2,primary142,8,动作或语速改变,C03,1420,0.38028169014084506,0.1267605633802817,0.0,0.0,0.0,1.0,-0.2112676056338028,0.7112676056338029,
PHQ-8,GLM-5.2,primary142,8,动作或语速改变,ElasticNet,1420,0.4056338028169014,0.13521126760563382,0.02535211267605634,-0.02607394366197183,0.07816901408450704,0.35436456354364565,-0.20985915492957746,0.6985915492957746,0.8051766251946234
PHQ-8,GLM-5.2,primary142,8,动作或语速改变,Mean,1420,0.3873239436619718,0.12910798122065728,0.007042253521126761,-0.04225352112676056,0.06338028169014084,1.0,-0.14788732394366197,0.704225352112676,1.0
PHQ-8,GLM-5.2,primary142,8,动作或语速改变,Median,1420,0.38028169014084506,0.1267605633802817,0.0,-0.04929577464788732,0.056338028169014086,1.0,-0.18309859154929578,0.7112676056338029,1.0
PHQ-8,GLM-5.2,primary142,8,动作或语速改变,Ridge,1420,0.4056338028169014,0.13521126760563382,0.025352112676056342,-0.028169014084507036,0.0788732394366197,0.3534646535346465,-0.18450704225352113,0.6950704225352112,0.9298270172982702
PHQ-8,Qwen3.7-Max,primary142,1,兴趣或愉悦感降低,B,1420,0.5704225352112676,0.19014084507042253,-0.04225352112676056,-0.10070422535211268,0.019014084507042252,0.17648235176482352,-0.39859154929577467,0.5401408450704225,0.47061960470619607
PHQ-8,Qwen3.7-Max,primary142,1,兴趣或愉悦感降低,C03,1420,0.6126760563380281,0.20422535211267603,0.0,0.0,0.0,1.0,-0.5422535211267606,0.528169014084507,
PHQ-8,Qwen3.7-Max,primary142,1,兴趣或愉悦感降低,ElasticNet,1420,0.6514084507042254,0.21713615023474178,0.03873239436619718,-0.07184859154929578,0.15919014084507024,0.505949405059494,0.048591549295774646,0.4154929577464789,0.5154484551544846
PHQ-8,Qwen3.7-Max,primary142,1,兴趣或愉悦感降低,Mean,1420,0.5704225352112676,0.19014084507042253,-0.04225352112676056,-0.11971830985915492,0.035211267605633804,0.39266073392660733,-0.34507042253521125,0.5422535211267606,0.5050494950504949
PHQ-8,Qwen3.7-Max,primary142,1,兴趣或愉悦感降低,Median,1420,0.6056338028169014,0.20187793427230047,-0.007042253521126761,-0.07059859154929576,0.06338028169014084,1.0,-0.39436619718309857,0.5211267605633803,1.0
PHQ-8,Qwen3.7-Max,primary142,1,兴趣或愉悦感降低,Ridge,1420,0.6612676056338028,0.22042253521126762,0.04859154929577463,-0.07748239436619721,0.17535211267605633,0.45085491450854914,0.1443661971830986,0.39647887323943665,0.5152627594383419
PHQ-8,Qwen3.7-Max,primary142,2,情绪低落、抑郁或无望,B,1420,0.497887323943662,0.16596244131455398,-0.009154929577464785,-0.06056338028169012,0.04154929577464788,0.732026797320268,-0.1176056338028169,0.5880281690140845,0.8366020540803063
PHQ-8,Qwen3.7-Max,primary142,2,情绪低落、抑郁或无望,C03,1420,0.5070422535211268,0.16901408450704225,0.0,0.0,0.0,1.0,-0.19718309859154928,0.5845070422535211,
PHQ-8,Qwen3.7-Max,primary142,2,情绪低落、抑郁或无望,ElasticNet,1420,0.48098591549295777,0.16032863849765258,-0.02605633802816901,-0.10494718309859155,0.04860915492957738,0.5154484551544846,-0.11056338028169015,0.5746478873239437,0.5154484551544846
PHQ-8,Qwen3.7-Max,primary142,2,情绪低落、抑郁或无望,Mean,1420,0.5422535211267606,0.18075117370892022,0.035211267605633804,-0.04225352112676056,0.11267605633802817,0.47005299470052997,0.02112676056338028,0.528169014084507,0.5050494950504949
PHQ-8,Qwen3.7-Max,primary142,2,情绪低落、抑郁或无望,Median,1420,0.528169014084507,0.176056338028169,0.02112676056338028,-0.056338028169014086,0.09859154929577464,0.7081291870812919,0.007042253521126761,0.5422535211267606,0.9441722494417225
PHQ-8,Qwen3.7-Max,primary142,2,情绪低落、抑郁或无望,Ridge,1420,0.497887323943662,0.16596244131455398,-0.009154929577464787,-0.08663732394366197,0.07253521126760563,0.8232176782321767,-0.1119718309859155,0.5605633802816902,0.8232176782321767
PHQ-8,Qwen3.7-Max,primary142,3,睡眠问题,B,1420,0.5408450704225352,0.18028169014084505,0.01971830985915493,-0.004947183098591553,0.045774647887323945,0.11648835116488351,-0.15774647887323945,0.6,0.46595340465953405
PHQ-8,Qwen3.7-Max,primary142,3,睡眠问题,C03,1420,0.5211267605633803,0.1737089201877934,0.0,0.0,0.0,1.0,-0.15492957746478872,0.6126760563380281,
PHQ-8,Qwen3.7-Max,primary142,3,睡眠问题,ElasticNet,1420,0.606338028169014,0.202112676056338,0.08521126760563381,0.005616197183098597,0.16760563380281687,0.04409559044095591,-0.1471830985915493,0.4964788732394366,0.11378862113788621
PHQ-8,Qwen3.7-Max,primary142,3,睡眠问题,Mean,1420,0.5704225352112676,0.19014084507042253,0.04929577464788732,-0.014084507042253521,0.1056338028169014,0.1912808719128087,-0.035211267605633804,0.5563380281690141,0.5050494950504949
PHQ-8,Qwen3.7-Max,primary142,3,睡眠问题,Median,1420,0.5633802816901409,0.18779342723004697,0.04225352112676056,-0.02112676056338028,0.1056338028169014,0.26007399260073993,-0.04225352112676056,0.5633802816901409,0.7511248875112488
PHQ-8,Qwen3.7-Max,primary142,3,睡眠问题,Ridge,1420,0.6084507042253521,0.20281690140845068,0.08732394366197184,0.002112676056338036,0.1676232394366196,0.044795520447955206,-0.12394366197183099,0.4922535211267606,0.11945472119454721
PHQ-8,Qwen3.7-Max,primary142,4,疲劳或精力不足,B,1420,0.7894366197183098,0.2631455399061033,-0.01338028169014085,-0.0880281690140845,0.05424295774647878,0.7072292770722928,-0.426056338028169,0.39154929577464787,0.8366020540803063
PHQ-8,Qwen3.7-Max,primary142,4,疲劳或精力不足,C03,1420,0.8028169014084507,0.26760563380281693,0.0,0.0,0.0,1.0,-0.6197183098591549,0.39436619718309857,
