analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
primary142,4.357142857142857,0.17676767676767677,,1.0,28,1.0,,,,,0.0,2.0,,,,0.7142857142857143,0.23809523809523808,,,outer_fold,C03,DeepSeek-V4-Pro,,2.0,PHQ-8,28,4.357142857142857,,,,,6.239276514834987
primary142,4.357142857142857,0.24098639455782314,,1.0,28,1.0,,,,,-0.2857142857142856,2.0,1.0,,,0.6785714285714286,0.22619047619047614,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,2.0,PHQ-8,28,4.071428571428571,,,,,4.869731585445518
primary142,4.357142857142857,0.22215007215007215,,1.0,28,1.0,,,,,-0.39285714285714235,2.0,1.0,,,0.7008928571428571,0.23363095238095236,,,outer_fold,Mean,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.9642857142857144,,,,,5.315072906367325
primary142,4.357142857142857,0.21618738404452692,,1.0,28,1.0,,,,,-0.2857142857142856,2.0,1.0,,,0.7321428571428571,0.24404761904761904,,,outer_fold,Median,DeepSeek-V4-Pro,,2.0,PHQ-8,28,4.071428571428571,,,,,5.437961803049794
primary142,4.357142857142857,0.24574829931972783,,1.0,28,1.0,,,,,-0.25,2.0,1.0,,,0.7008928571428571,0.23363095238095236,,,outer_fold,Ridge,DeepSeek-V4-Pro,,2.0,PHQ-8,28,4.107142857142857,,,,,4.880720087387575
primary142,3.857142857142857,0.18945578231292518,,1.0,28,1.0,,,,,-0.4285714285714288,3.0,1.0,,,0.5982142857142857,0.19940476190476192,,,outer_fold,B,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.4285714285714284,,,,,4.898979485566356
primary142,3.857142857142857,0.15714285714285717,,1.0,28,1.0,,,,,0.0,3.0,,,,0.5625,0.18749999999999997,,,outer_fold,C03,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.857142857142857,,,,,5.496752287877426
primary142,3.857142857142857,0.2994897959183674,,1.0,28,1.0,,,,,-0.1071428571428572,3.0,1.0,,,0.6383928571428571,0.21279761904761904,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.75,,,,,4.72455591261534
primary142,3.857142857142857,0.20697278911564623,,1.0,28,1.0,,,,,-0.2142857142857144,3.0,1.0,,,0.6160714285714286,0.20535714285714282,,,outer_fold,Mean,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.642857142857143,,,,,5.092010548749033
primary142,3.857142857142857,0.22185374149659862,,1.0,28,1.0,,,,,-0.2857142857142856,3.0,1.0,,,0.5982142857142857,0.19940476190476192,,,outer_fold,Median,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.5714285714285716,,,,,5.11300861947808
