repeat,fold,heldout_subject_n,selected_MAE,C03_MAE,delta_MAE,delta_item_NAE,delta_cancellation_ratio,scale,analysis_layer,model,improved
3,4,19,2.736842105263158,3.3157894736842106,-0.5789473684210527,0.009046052631578948,0.14439128123338651,HAMD-17,HAMD16_core,Qwen3.7-Max,True
4,0,20,4.2,4.3,-0.1,0.01640625,0.05169913419913419,HAMD-17,HAMD16_core,Qwen3.7-Max,True
4,1,20,3.2,3.3,-0.1,-0.00078125,0.030109890109890115,HAMD-17,HAMD16_core,Qwen3.7-Max,True
4,2,20,4.0,4.25,-0.25,0.00546875,0.07256132756132756,HAMD-17,HAMD16_core,Qwen3.7-Max,True
4,3,20,2.85,3.3,-0.45,0.00703125,0.07945887445887448,HAMD-17,HAMD16_core,Qwen3.7-Max,True
4,4,19,2.3684210526315788,2.736842105263158,-0.3684210526315789,0.009046052631578948,0.0899141793878636,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,0,20,3.85,3.95,-0.1,0.01171875,0.01830974580974582,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,1,20,2.55,3.75,-1.2,0.0203125,0.22537934287934286,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,2,20,3.35,3.15,0.2,0.015625,0.012912087912087927,HAMD-17,HAMD16_core,Qwen3.7-Max,False
5,3,20,3.6,3.7,-0.1,0.00546875,-0.027496392496392498,HAMD-17,HAMD16_core,Qwen3.7-Max,True
5,4,19,3.263157894736842,3.3684210526315788,-0.10526315789473684,0.006578947368421052,0.03102949681897051,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,0,20,4.55,4.9,-0.35,0.00390625,0.023553391053391055,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,1,20,2.95,3.45,-0.5,-0.0015625,0.09554112554112555,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,2,20,3.45,3.55,-0.1,-0.00234375,-0.01908369408369408,HAMD-17,HAMD16_core,Qwen3.7-Max,True
6,3,20,3.2,3.05,0.15,0.02734375,0.09380314130314131,HAMD-17,HAMD16_core,Qwen3.7-Max,False
6,4,19,2.526315789473684,2.9473684210526314,-0.42105263157894735,0.017269736842105265,0.02528085949138581,HAMD-17,HAMD16_core,Qwen3.7-Max,True
7,0,20,3.9,3.8,0.1,0.01640625,0.06422698216815864,HAMD-17,HAMD16_core,Qwen3.7-Max,False
7,1,20,3.2,3.45,-0.25,0.01796875,0.0808882783882784,HAMD-17,HAMD16_core,Qwen3.7-Max,True
7,2,20,3.9,4.4,-0.5,0.01484375,0.0698851148851149,HAMD-17,HAMD16_core,Qwen3.7-Max,True
7,3,20,2.25,2.5,-0.25,0.0109375,0.10180735930735932,HAMD-17,HAMD16_core,Qwen3.7-Max,True
7,4,19,3.263157894736842,3.789473684210526,-0.5263157894736842,0.008223684210526315,0.12719298245614036,HAMD-17,HAMD16_core,Qwen3.7-Max,True
8,0,20,3.2,4.0,-0.8,0.00234375,0.14934898434898436,HAMD-17,HAMD16_core,Qwen3.7-Max,True
8,1,20,4.6,4.3,0.3,0.01484375,0.03706349206349207,HAMD-17,HAMD16_core,Qwen3.7-Max,False
8,2,20,2.55,3.05,-0.5,0.0078125,0.0958982683982684,HAMD-17,HAMD16_core,Qwen3.7-Max,True
8,3,20,3.1,2.95,0.15,0.00625,0.019801587301587303,HAMD-17,HAMD16_core,Qwen3.7-Max,False
8,4,19,3.0,3.6315789473684212,-0.631578947368421,0.01644736842105263,0.08898557582768107,HAMD-17,HAMD16_core,Qwen3.7-Max,True
9,0,20,3.25,3.5,-0.25,0.015625,0.11512987012987015,HAMD-17,HAMD16_core,Qwen3.7-Max,True
9,1,20,3.7,3.9,-0.2,0.003125,0.002436729936729934,HAMD-17,HAMD16_core,Qwen3.7-Max,True
9,2,20,3.55,3.15,0.4,0.00703125,-0.040582750582750585,HAMD-17,HAMD16_core,Qwen3.7-Max,False
9,3,20,3.35,4.0,-0.65,0.015625,0.1115873015873016,HAMD-17,HAMD16_core,Qwen3.7-Max,True
9,4,19,3.4210526315789473,3.3684210526315788,0.05263157894736842,0.018914473684210526,0.03408521303258146,HAMD-17,HAMD16_core,Qwen3.7-Max,False
0,0,38,3.973684210526316,4.552631578947368,-0.5789473684210527,-0.002192982456140352,0.10912698412698411,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,1,38,2.763157894736842,3.3421052631578947,-0.5789473684210527,0.002192982456140354,0.12811384521910837,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,2,38,4.105263157894737,4.315789473684211,-0.21052631578947367,-0.006578947368421056,0.02717209690893901,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,3,38,4.394736842105263,4.947368421052632,-0.5526315789473685,-0.009868421052631578,0.0877610693400167,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
0,4,37,2.8378378378378377,3.2432432432432434,-0.40540540540540543,0.014639639639639636,0.11517296517296517,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,0,38,3.6842105263157894,4.157894736842105,-0.47368421052631576,-0.002192982456140344,0.0781903768745874,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,1,38,3.5526315789473686,3.6315789473684212,-0.07894736842105263,0.009868421052631578,0.06819321029847344,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,2,38,3.1842105263157894,3.9210526315789473,-0.7368421052631579,-0.0021929824561403503,0.16025860104807474,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,3,38,3.6842105263157894,4.105263157894737,-0.42105263157894735,-0.013157894736842108,-0.00895800106326422,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
1,4,37,4.135135135135135,4.621621621621622,-0.4864864864864865,-0.006756756756756755,0.058537108537108536,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,0,38,3.9210526315789473,4.447368421052632,-0.5263157894736842,2.0086271827099872e-18,0.06401799954431533,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,1,38,3.8947368421052633,4.342105263157895,-0.4473684210526316,-0.005482456140350868,0.09118308591992803,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,2,38,3.1052631578947367,3.4210526315789473,-0.3157894736842105,-0.0087719298245614,0.05586694007746639,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,3,38,3.1315789473684212,3.473684210526316,-0.34210526315789475,-0.001096491228070176,0.09736842105263159,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
2,4,37,4.297297297297297,4.756756756756757,-0.4594594594594595,0.0011261261261261255,0.0771966771966772,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,0,38,3.710526315789474,3.8684210526315788,-0.15789473684210525,0.004385964912280703,0.08899141793878636,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,1,38,3.0526315789473686,3.6052631578947367,-0.5526315789473685,-0.007675438596491224,0.033310549100022784,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,2,38,3.526315789473684,3.6842105263157894,-0.15789473684210525,-7.304098846218135e-19,0.05022974101921471,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
