scale,analysis_layer,target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q,direction
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_Kimi-K2.6,cancellation_ratio_subject,99,0.1171942773793322,0.0453654196778141,0.1832961348782543,0.0006999300069993,0.0020997900209979,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_Qwen3.7-Max,total_MAE_subject,99,-0.1141414141414141,-0.5303787878787879,0.3192171717171717,0.6142385761423858,0.8162183781621838,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_Qwen3.7-Max,item_NAE_subject,99,0.0178930852644087,0.0102833946078431,0.0249149119875222,9.999000099990002e-05,0.0002999700029997,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-A,C03_Qwen3.7-Max,cancellation_ratio_subject,99,0.0533822954746587,-0.0049435424223162,0.1152488862948509,0.0836916308369163,0.1255374462553744,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_GLM-5.2,total_MAE_subject,99,-0.0595959595959596,-0.4556313131313131,0.3505303030303027,0.7718228177182281,0.7718228177182281,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_GLM-5.2,item_NAE_subject,99,0.0035604203802733,-0.004668931966726,0.0117967357397504,0.401959804019598,0.6029397060293971,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_GLM-5.2,cancellation_ratio_subject,99,0.0101174497252928,-0.0432451835811907,0.0627157989688069,0.7103289671032896,0.7103289671032896,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_Kimi-K2.6,total_MAE_subject,99,-0.6454545454545454,-1.1313636363636363,-0.1555050505050508,0.0105989401059894,0.0317968203179682,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_Kimi-K2.6,item_NAE_subject,99,0.0013322563874034,-0.0067136902109328,0.0097811525178253,0.7638236176382361,0.7638236176382361,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_Kimi-K2.6,cancellation_ratio_subject,99,0.1039242041381078,0.0400042618964187,0.1666247244865782,0.0025997400259974,0.0077992200779922,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_Qwen3.7-Max,total_MAE_subject,99,-0.1202020202020202,-0.4981060606060606,0.2546717171717163,0.5264473552644735,0.7718228177182281,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_Qwen3.7-Max,item_NAE_subject,99,0.0080631684491978,0.0010457284239453,0.0154412228906714,0.0314968503149685,0.0944905509449055,target higher
HAMD-17,HAMD17_available,CrossAI_Joint-B,C03_Qwen3.7-Max,cancellation_ratio_subject,99,0.0401122222334343,-0.0225928495565304,0.1000105575417518,0.2103789621037896,0.3155684431556844,target higher
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_GLM-5.2,total_MAE_subject,99,-0.1131313131313131,-0.503030303030303,0.2596212121212118,0.5596440355964404,0.5596440355964404,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_GLM-5.2,item_NAE_subject,99,-0.0002497400475341,-0.0076496583481877,0.0069579991087344,0.95010498950105,0.95010498950105,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_GLM-5.2,cancellation_ratio_subject,99,0.0006100421453644,-0.0501136118062893,0.0524814224776345,0.982101789821018,0.982101789821018,target higher
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_Kimi-K2.6,total_MAE_subject,99,-0.698989898989899,-1.13030303030303,-0.2464141414141416,0.0030996900309969,0.0092990700929907,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_Kimi-K2.6,item_NAE_subject,99,-0.002477904040404,-0.0097789243538324,0.0048732963829471,0.5116488351164884,0.7674732526747325,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_Kimi-K2.6,cancellation_ratio_subject,99,0.0944167965581794,0.0387237065701391,0.1486147064215244,0.0010998900109989,0.0032996700329967,target higher
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_Qwen3.7-Max,total_MAE_subject,99,-0.1737373737373737,-0.4677020202020202,0.1252777777777776,0.2767723227677232,0.4151584841515848,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_Qwen3.7-Max,item_NAE_subject,99,0.0042530080213903,-0.0013428865864527,0.0100632937834224,0.1690830916908309,0.5072492750724927,target higher
