scale,analysis_layer,method,item_id,subject_n,item_MAE,item_NAE,coverage,complete_subject_rate,total_MAE,sum_item_AE,cancellation_amount,cancellation_ratio,weighted_kappa,route_family,mechanism_note
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_A,6,189,0.7619047619047619,0.2539682539682539,1.0,1.0,3.305291005291005,5.261904761904762,1.956613756613757,0.3262297050392288,0.1945151221204704,SingleAI-A,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_A,7,189,0.7359788359788361,0.2453262786596119,1.0,1.0,3.305291005291005,5.261904761904762,1.956613756613757,0.3262297050392288,0.1945151221204704,SingleAI-A,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_A,8,189,0.3677248677248677,0.1225749559082892,1.0,1.0,3.305291005291005,5.261904761904762,1.956613756613757,0.3262297050392288,0.1945151221204704,SingleAI-A,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,1,189,0.5904761904761905,0.1968253968253968,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,2,189,0.5687830687830688,0.1895943562610229,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,3,189,0.5068783068783068,0.1689594356261022,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,4,189,0.8137566137566138,0.2712522045855379,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,5,189,0.9195767195767196,0.3065255731922398,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,6,189,0.6349206349206349,0.2116402116402116,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,7,189,0.6592592592592592,0.219753086419753,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_DeepSeek-V4-Pro_B,8,189,0.3460317460317461,0.1153439153439153,1.0,1.0,3.693650793650794,5.03968253968254,1.3460317460317466,0.2443604426144108,0.2452576678218202,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_GLM-5.2_A,1,189,0.5232804232804233,0.1744268077601411,1.0,1.0,3.2566137566137567,4.828042328042328,1.5714285714285716,0.3042591065606938,0.2273241027284324,SingleAI-A,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_GLM-5.2_A,2,189,0.5328042328042328,0.1776014109347442,1.0,1.0,3.2566137566137567,4.828042328042328,1.5714285714285716,0.3042591065606938,0.2273241027284324,SingleAI-A,item error and total cancellation read together
